=== System Monitoring Started ===
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 4307444  57232 1755364    0    0   364    85  490    6  4  1 95  0  0  0
 2  0      0 4307192  57248 1755444    0    0     0    96  515  875  1  1 98  0  0  0
 2  0      0 4307192  57248 1755448    0    0     0     0  721 1611  3  2 96  0  0  0
 1  0      0 4307192  57272 1755452    0    0     0   112  175  242  1  1 99  0  0  0
 1  0      0 4307192  57272 1755456    0    0     0     0  147  292  1  1 98  0  0  0
 1  0      0 4307192  57272 1755456    0    0     0   132  146  209  1  1 99  0  0  0
 0  0      0 4307192  57272 1755464    0    0     0     0  138  390  1  1 99  0  0  0
 0  0      0 4307192  57272 1755468    0    0     0    92  290  635  1  1 98  0  0  0
 1  0      0 4307192  57280 1755472    0    0     0    48  685 1726  3  2 96  0  0  0
 3  0      0 4307192  57280 1755476    0    0     0   312  166  197  1  1 99  0  0  0
