=== System Monitoring Started ===
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 4311284  57340 1756112    0    0   361    85  488    6  4  1 95  0  0  0
 4  0      0 4308000  57356 1756140    0    0     0   128  912 1366  6  3 91  0  0  0
 0  0      0 4308000  57356 1756144    0    0     0    44  363  575  1  1 98  0  0  0
 2  0      0 4308000  57356 1756148    0    0     0     0  149  265  1  0 99  0  0  0
 2  0      0 4308000  57356 1756152    0    0     0     0  116  165  1  1 99  0  0  0
 1  0      0 4308000  57364 1756148    0    0     0    28  179  301  1  1 98  0  0  0
 0  0      0 4308000  57364 1756160    0    0     0     0  301  673  1  1 98  0  0  0
 2  0      0 4305988  57364 1756172    0    0     0     0  773 1452  3  1 96  0  0  0
 0  0      0 4302208  57364 1756176    0    0     0     0  207  283  1  1 98  0  0  0
 1  0      0 4302208  57364 1756180    0    0     0   100  141  170  1  1 99  0  0  0
